report_id,date,location,asset,report_type,narrative,sif_label,sif_label_reason,source_event_code,source_nature,data_source,narrative_provenance,context_provenance,sector_provenance
OIL-211336-0022,2024-09-02,Shalmari,Oil Collecting Station,Incident,"An employee was walking across stored rebar on the ground to access some framework angle iron. He retrieved a piece of angle iron and was returning back across the rebar, when he slipped and fell. The band of rebar that was being carried in his right hand came down on his left ring finger causing an open fracture which required surgery.",0,"no high-energy mechanism identified (Fall, slip, trip, unspecified)","Fall, slip, trip, unspecified",Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-299478-0023,2024-09-02,Duliajan,Central Workshop,Near Miss,"The injured employee was spotting for a forklift driver as they were placing a power pack onto a piece of equipment. The employee's left middle fingertip was crushed between the forklift mast and a brace for the equipment, resulting in an amputation to the finger.",1,high-energy mechanism (Pedestrian struck by vehicle in nonroadway area ),Pedestrian struck by vehicle in nonroadway area  unspecified,"Amputations, avulsions, enucleations  unspecified",OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-340465-0024,2024-09-02,Digboi,LPG Plant,Unsafe Condition,"An employee tripped and fell, hitting the concrete floor and breaking his hip.",0,"low-energy mechanism (Fall on same level due to tripping, unspecified)","Fall on same level due to tripping, unspecified",Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-347787-0025,2024-09-02,Makum,Pipeline Section,Unsafe Condition,"An employee had been unloading tires from the back of a pickup truck. The employee went to step down out of the back of the pickup truck and stepped on the lift gate in a vertical position. The lift gate tipped and employee fell, impacting their side on the upright liftgate. The employee sustained five fractured ribs and a punctured right lung. The employee was hospitalized.",0,low-energy mechanism (Fall on same level resulting in exposure or cont),Fall on same level resulting in exposure or contact,"Closed trauma involving internal organs, major blood vessels",OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-370951-0026,2024-09-02,Duliajan,Oil Collecting Station,Unsafe Condition,Employee received an electric shock when he placed his wrench near an energized bolt on a conductor he was removing.,1,"high-energy mechanism (Indirect exposure to electricity, unspecified)","Indirect exposure to electricity, unspecified","Electrocutions, electric shocks",OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-382545-0027,2024-09-02,Tengakhat,Pipeline Section,Incident,An employee was adjusting the height of a gantry crane when their left index finger became caught in a leg pinhole as the crane was lowered. The employee sustained an amputation of their left index finger at the first joint.,1,lethal-capable energy implied by injury nature (Amputations involving bone loss),Contact incidents  unspecified,Amputations involving bone loss,OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-387624-0028,2024-09-02,Duliajan,Crude Oil Pump Station,Unsafe Condition,A carcass was entering the transfer station process where it is was transferred from a shackle and secured to a trolley to continue down the rail for processing. An employee was approaching a carcass at the transfer station when the trolley dislodged from the carcass and the carcass fell to the ground and struck him. The employee sustained a fractured lower left leg.,0,no high-energy mechanism identified (Struck by other falling object  n.e.c.),Struck by other falling object  n.e.c.,Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-459778-0029,2024-09-02,Makum,Pipeline Section,Incident,"The injured employee was spray painting lay flat shipping reels while another employee was picking up the reels with a telehandler after they were painted. The telehandler bumped a reel, causing other reels to fall. The injured employee was caught between the reels, resulting in broken left femur.",0,"no high-energy mechanism identified (Pedestrian vehicular incident, n.e.c.)","Pedestrian vehicular incident, n.e.c.",Fractures,OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-482273-0030,2024-09-02,Baghjan,Workover Rig,Unsafe Condition,"While pouring concrete, an employee felt dizzy and lost his balance, possibly due to heat exposure, and fell backwards striking his head on an unknown object. He was hospitalized and required stitches.",0,"low-energy mechanism (Fall on same level, n.e.c.)","Fall on same level, n.e.c.","Cuts, lacerations",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-487084-0031,2024-09-02,Jaisalmer - Dandewala,Well Head,Unsafe Condition,"An employee was working on a blowout preventer. When he went to remove the valve removal plug, pressure (approximately 300 PSI) released and struck him, blowing him 20 to 30 feet away. He was hospitalized.",1,high-energy mechanism (Struck by discharged object or substance),Struck by discharged object or substance,"Traumatic injuries and disorders, unspecified",OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-500753-0032,2024-09-02,Chabua,Crude Oil Pump Station,Incident,"Employees were in a parking lot waiting to board a crew boat. An employee showed his co-workers a pistol and as he was putting it back in his truck, the gun fired. The employee sustained gunshot wounds to the right ring and little fingers.",0,no high-energy mechanism identified (Self-inflicted shooting-unintentional),Self-inflicted shooting-unintentional,Gunshot wounds,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-514094-0033,2024-09-02,Duliajan,Crude Oil Pump Station,Unsafe Act,"An employee was driving a flat bed from the south and collided with a forklift truck travelling east in a 3-way stop intersection. The employee in the flat bed was going to make a left hand turn and did not see the forklift truck. Due to the sudden stop, the employee's leg contacted the steel in the cab resulting in a fractured leg.",0,no high-energy mechanism identified (Roadway collision-moving perpendicularly),Roadway collision-moving perpendicularly,Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-523921-0034,2024-09-02,Digboi,LPG Plant,Unsafe Act,"An employee was hosing down an area outside when he stepped back into a propane heater, which ignited his clothing. He received burns to his legs and hand.",0,no high-energy mechanism identified (Ignition of clothing from controlled hea),Ignition of clothing from controlled heat source,"Heat (thermal) burns, unspecified",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-590353-0035,2024-09-02,Makum,Pipeline Section,Unsafe Act,An employee was using diesel fuel in the asphalt mixing drum to encourage stuck asphalt to move. The diesel vaporized when it touched the hot drum surface and the diesel vapor caused first- and second-degree burns.,1,high-energy mechanism (Contact with hot objects or substances),Contact with hot objects or substances,Thermal burns  second degree,OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-668329-0036,2024-09-02,Jaisalmer - Tanot,Drilling Rig,Incident,"An employee slipped in the snowy/icy parking lot, fracturing his right ankle and requiring surgery.",0,low-energy mechanism (Fall on same level due to slipping),Fall on same level due to slipping,Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-670490-0037,2024-09-02,KG Basin - Kakinada,Pipeline Section,Unsafe Condition,An employee was setting up a crane and reconfiguring the articulating boom head. The employee manually lifted the boom to pivot and pin it into a different position when their left index finger was pinched between the crane and the sheave. The employee suffered a fractured finger that required a surgical partial amputation.,1,"lethal-capable energy implied by injury nature (Amputations, avulsions, enucleations  un)",Caught or wedged between objects  nonrunning,"Amputations, avulsions, enucleations  unspecified",OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-769390-0038,2024-09-02,Naharkatiya,Group Gathering Station,Unsafe Act,"An employee was adding a dry powder cleaning agent to a trolly wash tank when the mix reacted aggressively with the water and flashed onto the employee, causing third degree burns to the face and body.",0,"no high-energy mechanism identified (Exposure through intact skin, eyes, or o)","Exposure through intact skin, eyes, or other exposed tissue",Third or fourth degree chemical burns and corrosions,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-849180-0039,2024-09-02,Makum,Crude Oil Pump Station,Near Miss,An employee fell off her bicycle while commuting to work on shipyard property. The employee fractured the left wrist and was hospitalized for surgery.,0,no high-energy mechanism identified (Fall from pedal cycle),Fall from pedal cycle,Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-883495-0040,2024-09-02,Digboi,LPG Plant,Unsafe Condition,"An employee was installing foam insulation in houses that were under construction when he began to feel nausea and cramping in his legs. Upon returning from the job site, the employee began to experience additional cramping and nausea, resulting in hospitalization for heat exhaustion and dehydration.",0,low-energy mechanism (Exposure to environmental heat),Exposure to environmental heat,Multiple effects of heat and light,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-926993-0041,2024-09-02,Chabua,Pipeline Section,Incident,"While observing work outside, an employee suffered from heat exhaustion.",0,low-energy mechanism (Exposure to environmental heat),Exposure to environmental heat,"Heat exhaustion, prostration",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-150251-0042,2024-09-03,Jaisalmer - Tanot,Drilling Rig,Unsafe Condition,"While pulling drilling rods, a driller did not stop and hit the crown of a derrick block. The rods then hit a derrickman, breaking his pelvis.",1,"high-energy mechanism (Caught in or compressed by equipment or objects,)","Caught in or compressed by equipment or objects, unspecified",Fractures,OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-161727-0043,2024-09-03,Naharkatiya,Well Head,Unsafe Condition,An employee delivering mail was attacked by a dog and knocked down. The employee sustained an injury to the right ear.,0,"low-energy mechanism (Struck by animal, unspecified)","Struck by animal, unspecified","Soreness, pain, hurt-nonspecified injury",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-206830-0044,2024-09-03,Jorajan,Oil Collecting Station,Unsafe Act,"An employee was about to climb a 15-foot chain ladder to exit a horizontal vessel. When he stepped onto the ladder, it became unstable and he fell. He landed on his back on the vessel's floor, suffering multiple broken vertebrae.",1,"high-energy mechanism (Other fall to lower level, unspecified)","Other fall to lower level, unspecified",Fractures,OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-346828-0045,2024-09-03,Jaisalmer - Dandewala,Gas Compressor Station,Unsafe Condition,An employee suffered a lower back strain while lifting and placing boxes of material onto a dry wall cart.,0,low-energy mechanism (Overexertion in lifting-single episode),Overexertion in lifting-single episode,Strains,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-452294-0046,2024-09-03,KG Basin - Kakinada,Pipeline Section,Unsafe Condition,An employee fell about 20 feet from an aerial lift while pulling cables.,1,high-energy mechanism (Other fall to lower level 16 to 20 feet),Other fall to lower level 16 to 20 feet,"Traumatic injuries and disorders, unspecified",OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-521899-0047,2024-09-03,Dikom,Well Head,Unsafe Act,"An employee was standing in a doorway when she lost her footing, slipped, and fell to the floor, resulting in a broken elbow.",0,low-energy mechanism (Fall on same level due to slip or trip),Fall on same level due to slip or trip,Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-606644-0048,2024-09-03,Digboi,LPG Plant,Unsafe Act,"A mail carrier was walking on grass that was spongy and wet when both of his feet sank in. He fell forward and then fell back with both his feet still stuck in the mud. The employee was unable to bend both knees and was taken to the hospital and admitted for evaluation and treatment. Ligaments and tendons in both knees were detached. At the time the incident was reported, it was not clear whether this caused the fall or this was caused by the fall.",0,"low-energy mechanism (Fall on same level, n.e.c.)","Fall on same level, n.e.c.","Traumatic injuries to muscles, tendons, ligaments, joints, etc., n.e.c.",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-708676-0049,2024-09-03,KG Basin - Kakinada,Gas Compressor Station,Unsafe Act,"An employee was walking between work stations when they tripped over a spring actuated pallet carousel (pallet riser) and fell to the floor, resulting in hospitalization due to a broken and dislocated left shoulder and a possible clavicle fracture.",0,low-energy mechanism (Fall on same level due to tripping over an objec),Fall on same level due to tripping over an object,Fractures and dislocations,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-757961-0050,2024-09-03,Shalmari,Oil Collecting Station,Incident,An employee was outside during a building evacuation when they were hospitalized for heat stress.,0,low-energy mechanism (Exposure to environmental heat),Exposure to environmental heat,"Effects of heat and light, unspecified",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-791490-0051,2024-09-03,Jaisalmer - Tanot,Gas Compressor Station,Near Miss,"On or about June 27, 2016, an employee was cutting metal banding from a steel coil. As the employee pulled the last of the four cut bands from the coil, the cut end of the bands punctured the employee's arm, causing a deep laceration.",0,low-energy mechanism (Injured by slipping or swinging object held by i),Injured by slipping or swinging object held by injured worker,"Cuts, lacerations",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-837093-0052,2024-09-03,Moran,Oil Collecting Station,Incident,"At about 11:00 a.m. on August 17, 2025, a Sealer Air Corp. employee suffered a broken right tibia while stepping down from a conveyor to the floor 19 inches below.",0,"no high-energy mechanism identified (Slip, trip, stumble while stepping betwe)","Slip, trip, stumble while stepping between levels",Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-837125-0053,2024-09-03,KG Basin - Kakinada,Gas Compressor Station,Incident,"While coming into work in the morning, an employee tripped going up the steps, fell, and broke their right arm. The employee was hospitalized for surgery.",0,"low-energy mechanism (Fall on same level while climbing stairs, steps,)","Fall on same level while climbing stairs, steps, or curbs",Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-889745-0054,2024-09-03,Shalmari,Group Gathering Station,Incident,"An employee and driver were unloading a frac tank from a winch truck. While trying to unhook the winch cable from the tank, the driver tightened the winch cable instead of loosening it, pinching the employee's finger between the cable and rear roller. The employee's right index fingertip was amputated.",1,high-energy mechanism (Caught in running equipment or machinery during ),Caught in running equipment or machinery during regular operation,Amputations,OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-204666-0055,2024-09-04,Dikom,Drilling Rig,Near Miss,"An employee was putting a pipe in place and pushing on a rotating sucker rod, which caught his glove and wrapped his arm around the rod. The employee sustained multiple arm fractures.",1,high-energy mechanism (Caught in running equipment or machinery during ),Caught in running equipment or machinery during regular operation,Fractures,OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-226717-0056,2024-09-04,Jaisalmer - Tanot,Gas Compressor Station,Incident,An employee was using a powered saw to cut a piece of wood that was supported by two saw horses when the saw cut his hand. He was hospitalized.,0,low-energy mechanism (Injured by slipping or swinging object held by i),Injured by slipping or swinging object held by injured worker,"Cuts, lacerations",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-236255-0057,2024-09-04,Jorajan,Workover Rig,Near Miss,"An employee was preparing a bushel corn bin for filling and was ensuring that residual product was removed from all gates. One gate had remaining product in it and as the employee lifted the modification tab, the slide gate began closing. The modification tab contacted the outer edge of the slide gate enclosure, amputating their right index fingertip.",1,"high-energy mechanism (Caught in or compressed by equipment or objects,)","Caught in or compressed by equipment or objects, unspecified",Amputations,OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-245593-0058,2024-09-04,Baghjan,Well Head,Near Miss,An employee was moving a piece of heavy angle iron to his workstation and suffered a hernia.,0,low-energy mechanism (Overexertion while materials moving by hand),Overexertion while materials moving by hand,Hernias,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-306013-0059,2024-09-04,Duliajan,Central Workshop,Near Miss,"An employee was holding a 2 x 4 stake while a coworker hit it with a sledgehammer. The coworker struck the employee's right index finger with the sledgehammer, breaking bones in the employee's right hand.",0,low-energy mechanism (Injured by slipping or swinging object held by o),Injured by slipping or swinging object held by other person,Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-523661-0060,2024-09-04,Makum,Pipeline Section,Unsafe Act,An employee was disconnecting a hose when it struck him. He was burned by ammonium hydroxide from the hose.,0,"no high-energy mechanism identified (Exposure through intact skin, eyes, or o)","Exposure through intact skin, eyes, or other exposed tissue","Chemical burns and corrosions, unspecified",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-532368-0061,2024-09-04,Digboi,LPG Plant,Unsafe Condition,An employee was troubleshooting the dehydration unit at the compressor station when he sustained burns to the hand and face from a fire. He was hospitalized.,0,"no high-energy mechanism identified (Fire, unspecified)","Fire, unspecified","Heat (thermal) burns, unspecified",OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-610154-0062,2024-09-04,Baghjan,Drilling Rig,Unsafe Condition,"An employee was walking in her office when she tripped on a pile of papers on the floor and fell, resulting in a right humeral neck fracture.",0,low-energy mechanism (Fall on same level due to tripping over an objec),Fall on same level due to tripping over an object,Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-630961-0063,2024-09-04,Duliajan,Central Workshop,Unsafe Act,An employee was climbing to fix a transformer that was placed on a trailer when he slipped. His foot got wedged and his left leg was fractured above the knee and required surgery.,0,no high-energy mechanism identified (Climbing or stepping up or down-single e),Climbing or stepping up or down-single episode,Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-657979-0064,2024-09-04,Tengakhat,Pipeline Section,Unsafe Act,"An employee was walking through a parking lot after leaving a shop when he slipped on ice and fell to the ground, resulting in a fractured hip.",0,low-energy mechanism (Fall on same level due to slip or trip),Fall on same level due to slip or trip,Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-659242-0065,2024-09-04,Kusijan,Drilling Rig,Near Miss,An employee was assisting with pipe on a drilling rig. The slips came down and landed on the employee's left foot fracturing four metatarsals.,0,"no high-energy mechanism identified (Contact with objects and equipment, unsp)","Contact with objects and equipment, unspecified",Fractures,OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-717831-0066,2024-09-04,Digboi,Crude Oil Pump Station,Near Miss,"An employee was retrieving water from a frac tank when he contacted a 25 kilovolt line with a pig pole and was electrically shocked. He sustained burns to his hands, feet, and abdomen, requiring hospitalization.",1,"high-energy mechanism (Indirect exposure to electricity, greater than 2)","Indirect exposure to electricity, greater than 220 volts","Electrical burns, unspecified",OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-762928-0067,2024-09-04,Makum,Pipeline Section,Unsafe Act,"An employee was working between two containers on dollies. One container was struck by a tug tractor in the employee's direction, and they became pinned between both containers. The employee suffered a laceration and fracture to their right leg.",0,"no high-energy mechanism identified (Pedestrian vehicular incident, n.e.c.)","Pedestrian vehicular incident, n.e.c.",Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-786847-0068,2024-09-04,Digboi,Crude Oil Pump Station,Unsafe Condition,An employee was digging and was hospitalized for heat stress.,0,low-energy mechanism (Exposure to environmental heat),Exposure to environmental heat,"Effects of heat and light, unspecified",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-795252-0069,2024-09-04,Tengakhat,Pipeline Section,Unsafe Condition,"On or about October 17, 2015, an employee walking the plant was struck on the hard hat by a hose that was dropped by another subcontractor. The injured employee was admitted to the hospital for back pain.",0,no high-energy mechanism identified (Struck by object or equipment dropped by),Struck by object or equipment dropped by other person,"Soreness, pain, hurt-nonspecified injury",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-813858-0070,2024-09-04,Kusijan,Drilling Rig,Unsafe Act,"An employee was stripping concrete forms when a form fell towards him. As he attempted to move out of the way, his back impacted a metal toolbox, fracturing his lower ribs.",0,no high-energy mechanism identified (Struck against stationary object or equi),"Struck against stationary object or equipment, n.e.c.",Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-903689-0071,2024-09-04,Hapjan,Group Gathering Station,Near Miss,An employee was walking down the metal stairs from the palletizing room when he fell backward onto the steps. He sustained two left rib fractures that required hospitalization.,0,"low-energy mechanism (Fall on same level due to tripping, n.e.c.)","Fall on same level due to tripping, n.e.c.",Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-914431-0072,2024-09-04,Dikom,Well Head,Unsafe Act,"Employee slipped on ice and fell in the parking lot, resulting in a fractured hip that required surgery.",0,low-energy mechanism (Fall on same level due to slipping),Fall on same level due to slipping,Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-943525-0073,2024-09-04,Dikom,Well Head,Unsafe Act,An employee slipped and fell on ice in the terminal yard. The employee was hospitalized with a dislocated and broken ankle.,0,low-energy mechanism (Fall on same level due to slipping),Fall on same level due to slipping,Fractures and dislocations,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
